"","pclass","sex","age","age_group","sibsp","parch","familysize","fare","embarked","survived"
"1","3rd_class","Male",34,"Adult",0,0,0,7.83,"Queenstown","No"
"2","3rd_class","Female",47,"Adult",1,0,1,7,"Southampton","No"
"3","2nd_class","Male",62,"Adult",0,0,0,9.69,"Queenstown","No"
"4","3rd_class","Male",27,"Adult",0,0,0,8.66,"Southampton","No"
"5","3rd_class","Female",22,"Adult",1,1,2,12.29,"Southampton","No"
"6","3rd_class","Male",14,"Teenage",0,0,0,9.22,"Southampton","No"
"7","3rd_class","Female",30,"Adult",0,0,0,7.63,"Queenstown","No"
"8","2nd_class","Male",26,"Adult",1,1,2,29,"Southampton","No"
"9","3rd_class","Female",18,"Teenage",0,0,0,7.23,"Cherbourg","Yes"
"10","3rd_class","Male",21,"Adult",2,0,2,24.15,"Southampton","No"
"11","3rd_class","Male",28,"Adult",0,0,0,7.9,"Southampton","No"
"12","1st_class","Male",46,"Adult",0,0,0,26,"Southampton","No"
"13","1st_class","Female",23,"Adult",1,0,1,82.27,"Southampton","Yes"
"14","2nd_class","Male",63,"Adult",1,0,1,26,"Southampton","No"
"15","1st_class","Female",47,"Adult",1,0,1,61.17,"Southampton","Yes"
"16","2nd_class","Female",24,"Adult",1,0,1,27.72,"Cherbourg","Yes"
"17","2nd_class","Male",35,"Adult",0,0,0,12.35,"Queenstown","No"
"18","3rd_class","Male",21,"Adult",0,0,0,7.22,"Cherbourg","No"
"19","3rd_class","Female",27,"Adult",1,0,1,7.92,"Southampton","No"
"20","3rd_class","Female",45,"Adult",0,0,0,7.22,"Cherbourg","No"
"21","1st_class","Male",55,"Adult",1,0,1,59.4,"Cherbourg","No"
"22","3rd_class","Male",9,"Kid",0,1,1,3.17,"Southampton","Yes"
"23","1st_class","Female",45,"Adult",0,0,0,31.68,"Southampton","Yes"
"24","1st_class","Male",21,"Adult",0,1,1,61.38,"Cherbourg","No"
"25","1st_class","Female",48,"Adult",1,3,4,262.38,"Cherbourg","Yes"
"26","3rd_class","Male",50,"Adult",1,0,1,14.5,"Southampton","No"
"27","1st_class","Female",22,"Adult",0,1,1,61.98,"Cherbourg","Yes"
"28","3rd_class","Male",22,"Adult",0,0,0,7.22,"Cherbourg","No"
"29","1st_class","Male",41,"Adult",0,0,0,30.5,"Southampton","Yes"
"30","3rd_class","Male",28,"Adult",2,0,2,21.68,"Cherbourg","No"
"31","2nd_class","Male",50,"Adult",1,0,1,26,"Southampton","No"
"32","2nd_class","Male",24,"Adult",2,0,2,31.5,"Southampton","No"
"33","3rd_class","Female",33,"Adult",1,2,3,20.58,"Southampton","No"
"34","3rd_class","Female",24,"Adult",1,2,3,23.45,"Southampton","No"
"35","1st_class","Male",30,"Adult",1,0,1,57.75,"Cherbourg","No"
"36","3rd_class","Male",18,"Teenage",0,0,0,7.23,"Cherbourg","No"
"37","3rd_class","Female",29,"Adult",0,0,0,8.05,"Southampton","No"
"38","3rd_class","Female",21,"Adult",0,0,0,8.66,"Southampton","Yes"
"39","3rd_class","Male",25,"Adult",0,0,0,9.5,"Southampton","No"
"40","3rd_class","Male",30,"Adult",0,0,0,56.5,"Southampton","Yes"
"41","3rd_class","Male",39,"Adult",0,1,1,13.42,"Cherbourg","No"
"42","1st_class","Male",48,"Adult",0,0,0,26.55,"Southampton","No"
"43","3rd_class","Male",41,"Adult",0,0,0,7.85,"Southampton","No"
"44","2nd_class","Female",30,"Adult",0,0,0,13,"Southampton","Yes"
"45","1st_class","Female",45,"Adult",1,0,1,52.55,"Southampton","Yes"
"46","3rd_class","Male",25,"Adult",0,0,0,7.92,"Southampton","No"
"47","1st_class","Male",45,"Adult",0,0,0,29.7,"Cherbourg","No"
"48","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"49","1st_class","Female",60,"Adult",0,0,0,76.29,"Cherbourg","Yes"
"50","3rd_class","Female",36,"Adult",0,2,2,15.9,"Southampton","Yes"
"51","1st_class","Male",24,"Adult",1,0,1,60,"Southampton","No"
"52","2nd_class","Male",27,"Adult",0,0,0,15.03,"Cherbourg","No"
"53","2nd_class","Female",20,"Adult",2,1,3,23,"Southampton","Yes"
"54","1st_class","Female",28,"Adult",3,2,5,263,"Southampton","Yes"
"55","2nd_class","Male",33,"Adult",0,0,0,15.58,"Cherbourg","No"
"56","3rd_class","Male",10,"Kid",4,1,5,29.12,"Queenstown","No"
"57","3rd_class","Male",35,"Adult",0,0,0,7.9,"Southampton","No"
"58","3rd_class","Male",25,"Adult",0,0,0,7.65,"Southampton","No"
"59","3rd_class","Male",28,"Adult",1,0,1,16.1,"Southampton","No"
"60","1st_class","Female",36,"Adult",0,0,0,262.38,"Cherbourg","Yes"
"61","3rd_class","Male",17,"Teenage",0,0,0,7.9,"Southampton","No"
"62","2nd_class","Male",32,"Adult",0,0,0,13.5,"Southampton","No"
"63","3rd_class","Male",18,"Teenage",0,0,0,7.75,"Southampton","No"
"64","3rd_class","Female",22,"Adult",0,0,0,7.72,"Queenstown","Yes"
"65","1st_class","Male",13,"Teenage",2,2,4,262.38,"Cherbourg","Yes"
"66","2nd_class","Female",30,"Adult",0,0,0,21,"Southampton","Yes"
"67","3rd_class","Female",18,"Teenage",0,0,0,7.88,"Queenstown","Yes"
"68","1st_class","Male",47,"Adult",0,0,0,42.4,"Southampton","No"
"69","1st_class","Male",31,"Adult",0,0,0,28.54,"Cherbourg","No"
"70","1st_class","Female",60,"Adult",1,4,5,263,"Southampton","Yes"
"71","3rd_class","Female",24,"Adult",0,0,0,7.75,"Queenstown","Yes"
"72","3rd_class","Male",21,"Adult",0,0,0,7.9,"Southampton","No"
"73","3rd_class","Female",29,"Adult",0,0,0,7.92,"Southampton","No"
"74","1st_class","Male",28,"Adult",0,0,0,27.72,"Cherbourg","No"
"75","1st_class","Female",35,"Adult",0,0,0,211.5,"Cherbourg","Yes"
"76","1st_class","Male",32,"Adult",0,0,0,211.5,"Cherbourg","No"
"77","3rd_class","Male",28,"Adult",0,0,0,8.05,"Southampton","No"
"78","1st_class","Female",55,"Adult",2,0,2,25.7,"Southampton","Yes"
"79","2nd_class","Male",30,"Adult",0,0,0,13,"Southampton","No"
"80","3rd_class","Female",24,"Adult",0,0,0,7.75,"Queenstown","Yes"
"81","3rd_class","Male",6,"Kid",1,1,2,15.25,"Cherbourg","Yes"
"82","1st_class","Male",67,"Elder",1,0,1,221.78,"Southampton","No"
"83","1st_class","Male",49,"Adult",0,0,0,26,"Southampton","No"
"84","3rd_class","Male",28,"Adult",0,0,0,7.9,"Southampton","No"
"85","2nd_class","Male",33,"Adult",0,0,0,10.71,"Queenstown","No"
"86","3rd_class","Male",28,"Adult",1,0,1,14.45,"Cherbourg","No"
"87","3rd_class","Female",27,"Adult",0,0,0,7.88,"Queenstown","No"
"88","3rd_class","Female",18,"Teenage",0,0,0,8.05,"Southampton","Yes"
"89","3rd_class","Female",23,"Adult",0,0,0,7.75,"Queenstown","Yes"
"90","2nd_class","Male",2,"Kid",1,1,2,23,"Southampton","Yes"
"91","3rd_class","Female",22,"Adult",1,0,1,13.9,"Southampton","No"
"92","3rd_class","Male",28,"Adult",0,0,0,7.78,"Southampton","No"
"93","1st_class","Female",27,"Adult",1,2,3,52,"Southampton","Yes"
"94","3rd_class","Male",28,"Adult",0,0,0,8.05,"Southampton","No"
"95","1st_class","Male",25,"Adult",0,0,0,26,"Cherbourg","No"
"96","3rd_class","Male",25,"Adult",0,0,0,7.8,"Southampton","No"
"97","1st_class","Female",76,"Elder",1,0,1,78.85,"Southampton","No"
"98","3rd_class","Male",29,"Adult",0,0,0,7.92,"Southampton","No"
"99","3rd_class","Female",20,"Adult",0,0,0,7.85,"Southampton","Yes"
"100","3rd_class","Male",33,"Adult",0,0,0,8.05,"Southampton","No"
"101","1st_class","Female",43,"Adult",1,0,1,55.44,"Cherbourg","Yes"
"102","2nd_class","Male",27,"Adult",1,0,1,26,"Southampton","No"
